year,delivered_orders,payment_revenue,item_price_revenue,freight_revenue,aov_payment,on_time_rate,late_rate,avg_review_score,avg_delivery_days,payment_revenue_yoy,delivered_orders_yoy,aov_payment_yoy
2017,43428,6922900.24,5962902.01,958633.23,159.41098461821866,0.9337293911761997,0.06627060882380031,4.174346481051818,13.02552668113836,,,
2018,52783,8452975.2,7218125.12,1233459.65,160.14578936399977,0.9063334785821192,0.09366652141788076,4.142035780539249,12.137693076529114,0.22101646809228015,0.21541401860550802,0.004609498821809055
