product_category_name_english,item_price_revenue,freight_value,orders,items,avg_review_score,late_rate,avg_freight_per_item,aov_item_price,weighted_objective,revenue_share,cumulative_revenue_share
health_beauty,1233131.72,178957.81,8647,9465,4.189729135644899,0.09054410987849974,18.907322768092975,142.60803978258355,5166487.895371907,0.09326717061414759,0.09326717061414759
watches_gifts,1166176.98,98156.14,5495,5859,4.071711092003439,0.08277863116572794,16.75305342208568,212.225110100091,4748335.744705073,0.0882030894152584,0.18147026002940597
bed_bath_table,1023434.76,201774.5,9272,10953,3.923968239313083,0.08399525244225327,18.42184789555373,110.37907247627265,4015925.4932490075,0.07740686807843139,0.25887712810783736
sports_leisure,954852.55,163404.36,7530,8431,4.165492957746479,0.07413118254062388,19.38137350255011,126.8064475431607,3977431.572711268,0.07221969417200938,0.3310968222798467
computers_accessories,888724.61,143999.16,6530,7644,3.986461619348055,0.07770800627943485,18.838194662480376,136.09871516079633,3542866.5479350686,0.06721814749024685,0.39831496977009356
furniture_decor,711927.6900000001,168402.23,6307,8160,3.9537747524752476,0.08431372549019608,20.637528186274512,112.87897415570002,2814801.726310025,0.053846219549170286,0.45216118931926386
housewares,615628.69,142763.56,5743,6795,4.107904085257549,0.06490066225165562,21.010089771891096,107.19635904579486,2528943.610652753,0.046562703021858984,0.49872389234112285
cool_stuff,610204.1,81476.79,3559,3718,4.194903767958796,0.06750941366325981,21.914144701452393,171.4538072492273,2559747.478313906,0.04615241744341178,0.5448763097845346
auto,578966.65,90488.1,3810,4140,4.116003903391071,0.08285024154589372,21.85702898550725,151.95975065616798,2383028.9913332523,0.043789791836229365,0.5886661016207639
toys,471286.48,75774.58,3804,4030,4.208927231807952,0.07419354838709677,18.8026253101737,123.89234490010514,1983610.4996549136,0.035645467410651846,0.6243115690314158
garden_tools,470495.27999999997,96650.4,3448,4268,4.084316037735849,0.07966260543580131,22.645360824742266,136.4545475638051,1921651.417783019,0.035585625477958786,0.6598971945093746
baby,400421.84,66305.81,2809,2982,4.0782358905035485,0.08786049631120053,22.235348759222,142.54960484158065,1633014.7192294695,0.030285663293870106,0.6901828578032446
perfumery,390144.65,53026.98,3086,3340,4.219735656353259,0.07335329341317365,15.87634131736527,126.42406027219702,1646307.2907404625,0.029508354254115608,0.7196912120573602
telephony,309860.23,69342.39,4093,4430,3.9943233424159854,0.08329571106094807,15.652909706546275,75.70491815294405,1237681.949575386,0.023436090783512577,0.7431273028408728
office_furniture,268154.31,67057.05,1254,1668,3.5133010882708584,0.08932853717026379,40.202068345323745,213.83916267942584,942106.8291475212,0.020281688789652596,0.7634089916305254
stationery,223788.69,45786.36,2264,2466,4.245818033455732,0.08029197080291971,18.567055961070558,98.8465945229682,950166.0556854345,0.01692612199753209,0.7803351136280575
computers,218684.14,9665.62,177,199,4.219387755102041,0.06532663316582915,48.57095477386935,1235.503615819209,922713.1825510204,0.01654004245060547,0.796875156078663
pet_shop,211695.64,38918.56,1688,1924,4.216710182767624,0.061330561330561334,20.227941787941788,125.41210900473935,892659.1608355092,0.016011471486720955,0.812886627565384
musical_instruments,184315.74,17871.38,611,651,4.221705426356589,0.08602150537634409,27.45219662058372,301.66242225859247,778126.7597209302,0.013940609336894574,0.8268272369022786
small_appliances,182754.12,15354.35,609,658,4.225114854517611,0.05927051671732523,23.334878419452888,300.0888669950739,772157.1471362939,0.01382249715421999,0.8406497340564986
unknown,175967.21,27386.63,1412,1559,3.932449903038138,0.09300833867864015,17.566792815907633,124.62266997167139,691982.2379023917,0.013309173327862767,0.8539589073843613
electronics,155043.93,45679.159999999996,2517,2729,4.067158671586716,0.09747160131916453,16.73842433125687,61.59870083432658,630588.2643763837,0.011726653720332452,0.8656855611046937
fashion_bags_accessories,149329.39,30558.9,1820,1985,4.1936708860759495,0.062468513853904284,15.394911838790932,82.04911538461539,626238.3152784811,0.011294437949286218,0.8769799990539799
consoles_games,148003.37,19094.36,1018,1089,4.13855421686747,0.0780532598714417,17.53384756657484,145.38641453831042,612519.9710240964,0.011194145229885752,0.8881741442838657
construction_tools_construction,142108.49,20273.52,736,916,4.090010976948409,0.08078602620087336,22.132663755458516,193.08218749999997,581225.2840175631,0.010748289552189028,0.8989224338360546
luggage_accessories,138701.63,30076.49,1019,1077,4.352283317800559,0.05385329619312906,27.926174558960074,136.11543670264967,603668.7904007456,0.010490613759956132,0.9094130475960107
home_appliances_2,107953.95,10254.57,227,231,4.156521739130435,0.06926406926406926,44.392077922077924,475.5680616740088,448712.94,0.008165031610022291,0.917578079206033
home_construction,81407.57,13614.8,483,596,3.95777027027027,0.08221476510067115,22.843624161073823,168.54569358178054,322192.46032094595,0.006157212240451623,0.9237352914464846
home_appliances,78832.48,14469.3,747,754,4.222148246782068,0.06763925729442971,19.19005305039788,105.53210174029451,332842.41722148244,0.005962446868284579,0.9296977383147692
agro_industry_and_commerce,70566.1,5637.2,177,206,4.087378640776699,0.043689320388349516,27.36504854368932,398.6785310734464,288430.3699029127,0.005337224224736511,0.9350349625395057
furniture_living_room,67350.7,17694.37,414,495,3.9346938775510205,0.07878787878787878,35.74620202020202,162.68285024154588,265004.3869387755,0.005094029393617634,0.9401289919331233
home_confort,58008.450000000004,8429.77,392,429,3.8548009367681497,0.10256410256410256,19.64981351981352,147.98073979591837,223611.0274004684,0.004387433974378869,0.9445164259075022
fixed_telephony,55315.21,4501.33,212,255,3.757936507936508,0.043137254901960784,17.65227450980392,260.92080188679245,207871.0471031746,0.004183732398536795,0.9487001583060389
air_conditioning,53323.56,6530.99,246,289,4.052816901408451,0.03806228373702422,22.598581314878892,216.76243902439023,216110.62521126762,0.004033095157323287,0.9527332534633622
audio,50570.6,5684.72,348,362,3.8365921787709496,0.1270718232044199,15.703646408839779,145.31781609195403,194018.76843575417,0.003824876695459437,0.9565581301588216
small_appliances_home_oven_and_coffee,46589.56,2656.34,72,73,4.438356164383562,0.0684931506849315,36.388219178082196,647.0772222222222,206781.0608219178,0.0035237731467633203,0.960081903305585
kitchen_dining_laundry_garden_furniture,45531.98,11540.99,241,274,4.033088235294118,0.043795620437956206,42.120401459854016,188.929377593361,183634.4928676471,0.003443783724142589,0.9635256870297275
books_general_interest,45302.15,8880.39,496,537,4.512195121951219,0.06517690875232775,16.53703910614525,91.33497983870969,204412.14024390242,0.0034264006713230167,0.9669520877010506
construction_tools_lights,39957.0,7490.14,242,301,4.082191780821918,0.09966777408637874,24.88418604651163,165.11157024793388,163112.1369863014,0.0030221234891512606,0.9699742111902018
construction_tools_safety,38773.22,3730.8,159,183,3.967032967032967,0.0546448087431694,20.38688524590164,243.85672955974843,153814.64197802197,0.002932589005982167,0.9729068001961839
industry_commerce_and_business,38498.81,7580.53,232,265,4.125954198473282,0.07547169811320754,28.60577358490566,165.94314655172414,158844.32675572517,0.002911834171869045,0.9758186343680529
food,28731.15,7063.53,441,499,4.262833675564682,0.09819639278557114,14.155370741482965,65.15,122476.11375770022,0.002173063124992573,0.9779916974930455
market_place,27795.77,5318.61,274,305,4.072607260726072,0.04262295081967213,17.43806557377049,101.44441605839417,113201.25471947194,0.0021023162253433923,0.9800940137183889
costruction_tools_garden,25096.28,5187.66,190,232,4.116379310344827,0.07327586206896551,22.36060344827586,132.0856842105263,103305.80775862068,0.0018981419345375527,0.9819921556529264
art,23657.3,3828.23,195,197,4.082051282051282,0.07614213197969544,19.43263959390863,121.31948717948717,96570.31179487178,0.0017893055539679684,0.9837814612068944
fashion_shoes,23001.46,4813.37,235,257,4.290513833992095,0.058365758754863814,18.72906614785992,97.87855319148936,98688.08233201581,0.0017397014928741685,0.9855211626997685
drinks,21529.84,5441.27,287,361,4.119113573407202,0.055401662049861494,15.072770083102494,75.01686411149826,88683.85617728531,0.001628396405677813,0.9871495591054463
signaling_and_security,21315.05,6477.54,138,197,4.091836734693878,0.05583756345177665,32.88091370558376,154.456884057971,87217.70459183674,0.0016121508941470473,0.9887617099995933
furniture_bedroom,19051.8,4327.42,90,103,4.252427184466019,0.07766990291262135,42.01378640776699,211.68666666666667,81016.3922330097,0.0014409713514681277,0.9902026813510615
books_technical,18702.23,4198.84,256,263,4.3893129770992365,0.11026615969581749,15.965171102661598,73.0555859375,82089.94083969465,0.0014145318362867427,0.9916172131873482
costruction_tools_tools,15903.95,2030.22,97,103,4.444444444444445,0.05825242718446602,19.710873786407767,163.95824742268042,70684.22222222223,0.0012028856236776333,0.9928200988110258
food_drink,14942.88,4394.89,221,269,4.366171003717472,0.06319702602230483,16.337881040892196,67.61484162895927,65243.16936802974,0.001130195676441389,0.9939502944874672
fashion_male_clothing,10452.33,2062.62,106,125,3.7580645161290325,0.056,16.50096,98.60688679245283,39280.53048387097,0.0007905556475551317,0.9947408501350223
fashion_underwear_beach,9305.95,1854.07,117,127,4.0476190476190474,0.12598425196850394,14.598976377952756,79.53803418803419,37666.94047619048,0.0007038498907292133,0.9954447000257516
christmas_supplies,8737.84,3190.91,125,150,4.06993006993007,0.12,21.27273333333333,69.90272,35562.397762237764,0.000660881235038803,0.9961055812607904
tablets_printing_image,7528.41,1226.2,79,83,4.1234567901234565,0.07228915662650602,14.773493975903614,95.29632911392405,31043.07333333333,0.0005694067296584138,0.9966749879904488
cine_photo,6674.47,1227.71,63,70,4.285714285714286,0.07142857142857142,17.538714285714285,105.94396825396827,28604.87142857143,0.000504819495073089,0.9971798074855219
music,6034.35,690.51,38,38,4.2105263157894735,0.07894736842105263,18.171315789473685,158.79868421052632,25407.78947368421,0.00045640440665615313,0.9976362118921781
dvds_blu_ray,4542.59,1227.25,56,61,4.180327868852459,0.06557377049180328,20.118852459016395,81.11767857142857,18989.515573770495,0.00034357604276055823,0.9979797879349387
party_supplies,4465.1900000000005,820.19,38,42,3.8333333333333335,0.047619047619047616,19.528333333333336,117.50500000000001,17116.56166666667,0.00033772194064928093,0.998317509875588
books_imported,4418.86,732.08,50,57,4.508771929824562,0.03508771929824561,12.843508771929825,88.37719999999999,19923.63192982456,0.00033421779916587675,0.9986517276747539
furniture_mattress_and_upholstery,4323.38,1581.37,37,37,3.891891891891892,0.13513513513513514,42.739729729729724,116.84810810810811,16826.127567567568,0.0003269962272074174,0.9989787239019613
fashio_female_clothing,2634.94,583.5,36,45,3.933333333333333,0.06666666666666667,12.966666666666667,73.19277777777778,10364.097333333333,0.00019929209066006512,0.9991780159926213
fashion_sport,2094.52,563.03,26,29,4.344827586206897,0.06896551724137931,19.414827586206897,80.55846153846154,9100.32827586207,0.00015841775134512346,0.9993364337439665
la_cuisine,2054.99,333.55,13,14,4.0,0.0,23.825,158.07615384615383,8219.96,0.00015542792374229669,0.9994918616677089
arts_and_craftmanship,1814.01,370.13,23,24,4.125,0.08333333333333333,15.422083333333333,78.87,7482.79125,0.00013720154742736637,0.9996290632151362
diapers_and_hygiene,1500.79,545.4,25,37,3.3783783783783785,0.02702702702702703,14.74054054054054,60.0316,5070.236486486487,0.00011351134247524389,0.9997425745576115
flowers,1110.04,488.87,29,33,4.419354838709677,0.030303030303030304,14.814242424242424,38.27724137931035,4905.66064516129,8.395720294059777e-05,0.9998265317605521
home_comfort_2,760.27,410.31,24,30,3.6296296296296298,0.16666666666666666,13.677,31.677916666666665,2759.4985185185187,5.750256088037212e-05,0.9998840343214325
cds_dvds_musicals,730.0,224.98999999999998,12,14,4.642857142857143,0.0,16.070714285714285,60.833333333333336,3389.2857142857147,5.5213107767860955e-05,0.9999392474292004
fashion_childrens_clothes,519.95,78.72,7,7,5.0,0.0,11.245714285714286,74.27857142857144,2599.75,3.932610326561549e-05,0.999978573532466
security_and_services,283.28999999999996,41.22,2,2,2.5,0.0,20.61,141.64499999999998,708.2249999999999,2.1426467533640174e-05,0.9999999999999997
