seller_id,seller_state,orders,item_price_revenue,avg_review_score,late_rate,avg_freight_per_item
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,226987.93,4.139473684210526,0.11585365853658537,17.43826655052265
53243585a1d6dc2643021fd1853d8905,BA,348,217940.44,4.128140703517588,0.04,32.14145
4a3ca9315b744ce9f8e9374361493884,SP,1772,196882.12,3.828230409963674,0.10979989738327348,17.61842483324782
fa1c13f2614d7b5c4749cbc52fecda94,SP,578,190917.13999999998,4.373913043478261,0.10189982728842832,17.126701208981004
7c67e1448b00f6e969d365cea6b010ab,SP,973,186570.05,3.3474387527839644,0.0959409594095941,37.8130184501845
7e93a43ef30c4f03f38b393420bc753a,SP,319,165981.49,4.364485981308412,0.055900621118012424,18.60888198757764
da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,159816.87,4.067769130998703,0.07299741602067183,16.07875322997416
7a67c85e85bb2ce8582c35f2203ad736,SP,1145,139658.69,4.268090671316478,0.05887445887445888,17.852666666666668
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,138208.56,3.8693181818181817,0.09225352112676057,23.743943661971834
955fee9216a65b617aa5c0531780ce60,SP,1261,131836.71,4.088235294117647,0.08084239130434782,16.827289402173914
46dc3b2cc0980fb8ec44634e21d2718e,RJ,503,122811.38,4.263565891472868,0.06309751434034416,21.704588910133843
6560211a19b47992c3666cc44a7e94c0,SP,1819,120702.83,3.950480040424457,0.06212424849699399,13.701457915831664
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,722,112461.5,4.26797385620915,0.09511568123393316,17.75922879177378
7d13fca15225358621be4086e1eb0964,SP,558,112436.18000000001,4.017605633802817,0.1190893169877408,14.883169877408058
5dceca129747e92ff8ef7a997dc4f8ca,SP,322,111126.73,4.017699115044247,0.05830903790087463,39.580728862973764
1f50f920176fa81dab994f9023523100,SP,1399,106655.70999999999,3.9924400417101147,0.09449636552440291,18.202092419522327
cc419e0650a3c5ba77189a1882b7556a,SP,1651,101090.95999999999,4.141885325558794,0.05991855730075625,14.453769633507854
a1043bafd471dff536d0c462352beb48,MG,702,99309.23,4.246666666666667,0.05585106382978723,41.36105053191489
3d871de0142ce09b7081e2b9d1733cb1,SP,1064,93407.4,4.150134048257373,0.0592396109637489,19.547524314765695
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,79144.9,4.454022988505747,0.07471264367816093,22.33471264367816
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,184,72926.72,4.319148936170213,0.07407407407407407,27.3789417989418
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,68070.0,4.218340611353712,0.16593886462882096,18.855633187772924
