product_category_name_english,mu_monthly_revenue,sigma_monthly_revenue
bed_bath_table,48734.98857142857,24300.28797934323
computers_accessories,42320.21952380952,25451.917500895583
health_beauty,56051.44181818182,35473.14198364698
sports_leisure,45469.16904761905,22824.01903019337
watches_gifts,55532.23714285714,33733.795098972805
